단말기명,모델명,출고가,출시일자,통신사
galaxy note7,sm-n930s_64g,988900,2016-08-19,SKT
galaxy mega,"shv-e310l,shv-e310s",799700,2013-03-01,"LG,SKT"
galaxy wide,sm-g600s,319000,2016-07-04,SKT
galaxy joom2,sm-c115l,297000,2014-04-29,LG
galaxy core advance,shw-m570s,410300,2014-02-01,SKT
galaxy folder,"sm-g150nk,sm-g150ns,sm-g160n",297000,2015-07-28,"KT,SKT,LG"
galaxy folder2 ,sm-g160n,297000,2017-06-22,"KT,SKT"
galaxy a5 2016,"sm-a510k,sm-a510l,sm-a510s",550000,2015-01-22,"KT,LG,SKT"
galaxy a7 2016,"sm-a710k,sm-a710l,sm-a710s",599500,2016-01-13,"KT,LG,SKT"
galaxy a7 2017,sm-a720s,588500,2017-07-14,SKT
galaxy a8 2015,sm-a800s,649000,2015-07-24,
galaxy a8 2015,sm-a800s,599500,2015-12-01,
galaxy a8 2015,sm-a800s,399300,2015-04-08,
galaxy a8 2016,sm-a810ss,649000,2016-10-05,
galaxy j7 sense plus,sm-j700k,374000,2015-11-25,
galaxy s3 3g,shw-m440s,904200,2012-05-29,
galaxy s4 active,shv-e470s,899800,2013-07-09,
galaxy s5 ,"sm-g900kw,sm-g900k,sm-g900s",868000,2014-04-11,
galaxy s5 ,"sm-g900kw,sm-g900k,sm-g900s",668000,2015-03-08,
galaxy s6 edge plus,"sm-g928k,sm-g928l,sm-g928s_32g",939400,2015-08-21,
galaxy s6 edge plus,"sm-g928k,sm-g928l,sm-g928s_32g",599500,2016-09-30,
galaxy s8 plus 128gb ,"sm-g955n_128g,sm-g955n_64gb,sm-g955n128,sm-g955nbl, sm-g955npk, sm-g955ngr",1155000,2017-04-21,
galaxy s8 plus 64gb,"sm-g955n_128g,sm-g955n_64gb,sm-g955n128,sm-g955nbl, sm-g955npk, sm-g955ngr",990000,2017-04-21,
galaxy note edge,"sm-n915k,sm-n915s",1067000, 2014-09-26,"KT,SKT"
galaxy note4 ,"sm-n910k,sm-n910kw,sm-n910l,sm-n910s",957000,2014-09-26,"KT,LG.SKT"
galaxy note4 ,"sm-n910k,sm-n910kw,sm-n910l,sm-n910s",799000,2015-08-01,"KT,LG.SKT"
